display,randomise_trials,trial_num,pic_a.correct,pic_b.correct,object_name,pic_a.button1,pic_a.button2,pic_a.button3,pic_a.button4,pic_a.button5,pic_b.button1,pic_b.button2,pic_b.button3,pic_b.button4,pic_b.button5
instructions,,,,,,,,,,,,,,,
test,1,15,arms15a.jpeg,arms15b.png,wonna,arms15a.jpeg,arms19a.jpeg,arms25a.png,arms32a.png,arms36a.png,arms15b.png,arms19b.png,arms25b.jpeg,arms32b.png,arms36b.png
test,1,19,arms19a.jpeg,arms19b.png,bagh nakh,arms15a.jpeg,arms19a.jpeg,arms25a.png,arms32a.png,arms36a.png,arms15b.png,arms19b.png,arms25b.jpeg,arms32b.png,arms36b.png
test,1,25,arms25a.png,arms25b.jpeg,shamshir,arms15a.jpeg,arms19a.jpeg,arms25a.png,arms32a.png,arms36a.png,arms15b.png,arms19b.png,arms25b.jpeg,arms32b.png,arms36b.png
test,1,32,arms32a.png,arms32b.png,hauberk,arms15a.jpeg,arms19a.jpeg,arms25a.png,arms32a.png,arms36a.png,arms15b.png,arms19b.png,arms25b.jpeg,arms32b.png,arms36b.png
test,1,36,arms36a.png,arms36b.png,besagew,arms15a.jpeg,arms19a.jpeg,arms25a.png,arms32a.png,arms36a.png,arms15b.png,arms19b.png,arms25b.jpeg,arms32b.png,arms36b.png
finish,,,,,,,,,,,,,,,
